Age Group,Sleep Hours,Work Hours,Physical Activities,Mental State,Severity,Recommendations
15-19,<6,6-8,yoga,Eating Disorder,Low,"['Seek professional help from a dietitian or therapist.', 'Develop a regular eating schedule.', ""Avoid labeling foods as 'good' or 'bad.'"", 'Practice mindful eating without distractions.', 'Join support groups for eating disorder recovery.']"
15-19,<6,6-8,yoga,Depression,High,"['Reach out to a trusted friend or family member.', 'Consider therapy with a licensed counselor.', 'Engage in activities you once enjoyed.', 'Establish a routine to bring structure to your day.', 'Avoid isolation by joining community events.']"
15-19,<6,6-8,yoga,Depression,Medium,"['Reach out to a trusted friend or family member.', 'Consider therapy with a licensed counselor.', 'Engage in activities you once enjoyed.', 'Establish a routine to bring structure to your day.', 'Avoid isolation by joining community events.']"
15-19,<6,6-8,yoga,Depression,Low,"['Reach out to a trusted friend or family member.', 'Consider therapy with a licensed counselor.', 'Engage in activities you once enjoyed.', 'Establish a routine to bring structure to your day.', 'Avoid isolation by joining community events.']"
15-19,<6,6-8,yoga,Suicidal Thoughts,High,"['Contact a crisis hotline immediately.', 'Talk to a trusted family member or friend.', 'Remove access to harmful objects or substances.', 'Seek professional mental health support.', 'Engage in mindfulness to calm intrusive thoughts.']"
15-19,<6,6-8,yoga,Suicidal Thoughts,Medium,"['Contact a crisis hotline immediately.', 'Talk to a trusted family member or friend.', 'Remove access to harmful objects or substances.', 'Seek professional mental health support.', 'Engage in mindfulness to calm intrusive thoughts.']"
15-19,<6,6-8,yoga,Suicidal Thoughts,Low,"['Contact a crisis hotline immediately.', 'Talk to a trusted family member or friend.', 'Remove access to harmful objects or substances.', 'Seek professional mental health support.', 'Engage in mindfulness to calm intrusive thoughts.']"
15-19,<6,6-8,gym,Relationship and Family Issues,High,"['Communicate openly with family members.', 'Consider family counseling.', 'Set clear boundaries in relationships.', 'Practice active listening in conversations.', 'Spend quality time with loved ones.']"
15-19,<6,6-8,gym,Relationship and Family Issues,Medium,"['Communicate openly with family members.', 'Consider family counseling.', 'Set clear boundaries in relationships.', 'Practice active listening in conversations.', 'Spend quality time with loved ones.']"
15-19,<6,6-8,gym,Relationship and Family Issues,Low,"['Communicate openly with family members.', 'Consider family counseling.', 'Set clear boundaries in relationships.', 'Practice active listening in conversations.', 'Spend quality time with loved ones.']"
15-19,<6,6-8,gym,Family Dynamics,High,"['Plan family activities to strengthen bonds.', 'Encourage family meetings to discuss issues.', 'Respect individual opinions within the family.', 'Teach children about empathy and understanding.', 'Develop a routine to spend time together.']"
15-19,<6,6-8,gym,Family Dynamics,Medium,"['Plan family activities to strengthen bonds.', 'Encourage family meetings to discuss issues.', 'Respect individual opinions within the family.', 'Teach children about empathy and understanding.', 'Develop a routine to spend time together.']"
15-19,<6,6-8,gym,Family Dynamics,Low,"['Plan family activities to strengthen bonds.', 'Encourage family meetings to discuss issues.', 'Respect individual opinions within the family.', 'Teach children about empathy and understanding.', 'Develop a routine to spend time together.']"
15-19,<6,6-8,gym,Sexual and Reproduction Issues,High,"['Consult a qualified medical professional.', 'Educate yourself on reproductive health.', 'Practice safe sex methods.', 'Seek support groups for sexual health issues.', 'Discuss concerns openly with a partner.']"
15-19,<6,6-8,gym,Sexual and Reproduction Issues,Medium,"['Consult a qualified medical professional.', 'Educate yourself on reproductive health.', 'Practice safe sex methods.', 'Seek support groups for sexual health issues.', 'Discuss concerns openly with a partner.']"
15-19,<6,6-8,gym,Sexual and Reproduction Issues,Low,"['Consult a qualified medical professional.', 'Educate yourself on reproductive health.', 'Practice safe sex methods.', 'Seek support groups for sexual health issues.', 'Discuss concerns openly with a partner.']"
15-19,<6,6-8,gym,Anxiety,High,"['Practice deep breathing exercises daily.', 'Engage in mindfulness meditation.', 'Exercise regularly to reduce stress.', 'Avoid excessive caffeine or sugar intake.', 'Develop a consistent sleep schedule.']"
15-19,<6,6-8,gym,Anxiety,Medium,"['Practice deep breathing exercises daily.', 'Engage in mindfulness meditation.', 'Exercise regularly to reduce stress.', 'Avoid excessive caffeine or sugar intake.', 'Develop a consistent sleep schedule.']"
15-19,<6,6-8,gym,Anxiety,Low,"['Practice deep breathing exercises daily.', 'Engage in mindfulness meditation.', 'Exercise regularly to reduce stress.', 'Avoid excessive caffeine or sugar intake.', 'Develop a consistent sleep schedule.']"
15-19,<6,6-8,gym,Hormonal Changes,High,"['Maintain a balanced diet rich in nutrients.', 'Exercise regularly to manage hormonal fluctuations.', 'Get sufficient sleep to regulate hormones.', 'Avoid excessive stress through mindfulness techniques.', 'Consult a doctor for hormonal therapy if needed.']"
15-19,<6,6-8,gym,Hormonal Changes,Medium,"['Maintain a balanced diet rich in nutrients.', 'Exercise regularly to manage hormonal fluctuations.', 'Get sufficient sleep to regulate hormones.', 'Avoid excessive stress through mindfulness techniques.', 'Consult a doctor for hormonal therapy if needed.']"
15-19,<6,6-8,gym,Hormonal Changes,Low,"['Maintain a balanced diet rich in nutrients.', 'Exercise regularly to manage hormonal fluctuations.', 'Get sufficient sleep to regulate hormones.', 'Avoid excessive stress through mindfulness techniques.', 'Consult a doctor for hormonal therapy if needed.']"
15-19,<6,6-8,gym,Body Image,High,"['Avoid comparing yourself to others on social media.', 'Focus on the strengths and capabilities of your body.', 'Wear clothes that make you feel confident.', 'Surround yourself with positive and supportive people.', 'Engage in physical activities you enjoy.']"
15-19,<6,6-8,gym,Body Image,Medium,"['Avoid comparing yourself to others on social media.', 'Focus on the strengths and capabilities of your body.', 'Wear clothes that make you feel confident.', 'Surround yourself with positive and supportive people.', 'Engage in physical activities you enjoy.']"
15-19,<6,6-8,gym,Body Image,Low,"['Avoid comparing yourself to others on social media.', 'Focus on the strengths and capabilities of your body.', 'Wear clothes that make you feel confident.', 'Surround yourself with positive and supportive people.', 'Engage in physical activities you enjoy.']"
15-19,<6,6-8,gym,Eating Disorder,High,"['Seek professional help from a dietitian or therapist.', 'Develop a regular eating schedule.', ""Avoid labeling foods as 'good' or 'bad.'"", 'Practice mindful eating without distractions.', 'Join support groups for eating disorder recovery.']"
15-19,<6,6-8,gym,Eating Disorder,Medium,"['Seek professional help from a dietitian or therapist.', 'Develop a regular eating schedule.', ""Avoid labeling foods as 'good' or 'bad.'"", 'Practice mindful eating without distractions.', 'Join support groups for eating disorder recovery.']"
15-19,<6,6-8,gym,Eating Disorder,Low,"['Seek professional help from a dietitian or therapist.', 'Develop a regular eating schedule.', ""Avoid labeling foods as 'good' or 'bad.'"", 'Practice mindful eating without distractions.', 'Join support groups for eating disorder recovery.']"
15-19,<6,6-8,gym,Depression,High,"['Reach out to a trusted friend or family member.', 'Consider therapy with a licensed counselor.', 'Engage in activities you once enjoyed.', 'Establish a routine to bring structure to your day.', 'Avoid isolation by joining community events.']"
15-19,<6,6-8,gym,Depression,Medium,"['Reach out to a trusted friend or family member.', 'Consider therapy with a licensed counselor.', 'Engage in activities you once enjoyed.', 'Establish a routine to bring structure to your day.', 'Avoid isolation by joining community events.']"
15-19,<6,6-8,gym,Depression,Low,"['Reach out to a trusted friend or family member.', 'Consider therapy with a licensed counselor.', 'Engage in activities you once enjoyed.', 'Establish a routine to bring structure to your day.', 'Avoid isolation by joining community events.']"
15-19,<6,6-8,gym,Suicidal Thoughts,High,"['Contact a crisis hotline immediately.', 'Talk to a trusted family member or friend.', 'Remove access to harmful objects or substances.', 'Seek professional mental health support.', 'Engage in mindfulness to calm intrusive thoughts.']"
15-19,<6,6-8,gym,Suicidal Thoughts,Medium,"['Contact a crisis hotline immediately.', 'Talk to a trusted family member or friend.', 'Remove access to harmful objects or substances.', 'Seek professional mental health support.', 'Engage in mindfulness to calm intrusive thoughts.']"
15-19,<6,6-8,gym,Suicidal Thoughts,Low,"['Contact a crisis hotline immediately.', 'Talk to a trusted family member or friend.', 'Remove access to harmful objects or substances.', 'Seek professional mental health support.', 'Engage in mindfulness to calm intrusive thoughts.']"
15-19,<6,6-8,no-exercise,Relationship and Family Issues,High,"['Communicate openly with family members.', 'Consider family counseling.', 'Set clear boundaries in relationships.', 'Practice active listening in conversations.', 'Spend quality time with loved ones.']"
15-19,<6,6-8,no-exercise,Relationship and Family Issues,Medium,"['Communicate openly with family members.', 'Consider family counseling.', 'Set clear boundaries in relationships.', 'Practice active listening in conversations.', 'Spend quality time with loved ones.']"
15-19,<6,6-8,no-exercise,Relationship and Family Issues,Low,"['Communicate openly with family members.', 'Consider family counseling.', 'Set clear boundaries in relationships.', 'Practice active listening in conversations.', 'Spend quality time with loved ones.']"
15-19,<6,6-8,no-exercise,Family Dynamics,High,"['Plan family activities to strengthen bonds.', 'Encourage family meetings to discuss issues.', 'Respect individual opinions within the family.', 'Teach children about empathy and understanding.', 'Develop a routine to spend time together.']"
15-19,<6,6-8,no-exercise,Family Dynamics,Medium,"['Plan family activities to strengthen bonds.', 'Encourage family meetings to discuss issues.', 'Respect individual opinions within the family.', 'Teach children about empathy and understanding.', 'Develop a routine to spend time together.']"
15-19,<6,6-8,no-exercise,Family Dynamics,Low,"['Plan family activities to strengthen bonds.', 'Encourage family meetings to discuss issues.', 'Respect individual opinions within the family.', 'Teach children about empathy and understanding.', 'Develop a routine to spend time together.']"
15-19,<6,6-8,no-exercise,Sexual and Reproduction Issues,High,"['Consult a qualified medical professional.', 'Educate yourself on reproductive health.', 'Practice safe sex methods.', 'Seek support groups for sexual health issues.', 'Discuss concerns openly with a partner.']"
15-19,<6,6-8,no-exercise,Sexual and Reproduction Issues,Medium,"['Consult a qualified medical professional.', 'Educate yourself on reproductive health.', 'Practice safe sex methods.', 'Seek support groups for sexual health issues.', 'Discuss concerns openly with a partner.']"
15-19,<6,6-8,no-exercise,Sexual and Reproduction Issues,Low,"['Consult a qualified medical professional.', 'Educate yourself on reproductive health.', 'Practice safe sex methods.', 'Seek support groups for sexual health issues.', 'Discuss concerns openly with a partner.']"
15-19,<6,6-8,no-exercise,Anxiety,High,"['Practice deep breathing exercises daily.', 'Engage in mindfulness meditation.', 'Exercise regularly to reduce stress.', 'Avoid excessive caffeine or sugar intake.', 'Develop a consistent sleep schedule.']"
15-19,<6,6-8,no-exercise,Anxiety,Medium,"['Practice deep breathing exercises daily.', 'Engage in mindfulness meditation.', 'Exercise regularly to reduce stress.', 'Avoid excessive caffeine or sugar intake.', 'Develop a consistent sleep schedule.']"
15-19,<6,6-8,no-exercise,Anxiety,Low,"['Practice deep breathing exercises daily.', 'Engage in mindfulness meditation.', 'Exercise regularly to reduce stress.', 'Avoid excessive caffeine or sugar intake.', 'Develop a consistent sleep schedule.']"
15-19,<6,6-8,no-exercise,Hormonal Changes,High,"['Maintain a balanced diet rich in nutrients.', 'Exercise regularly to manage hormonal fluctuations.', 'Get sufficient sleep to regulate hormones.', 'Avoid excessive stress through mindfulness techniques.', 'Consult a doctor for hormonal therapy if needed.']"
15-19,<6,6-8,no-exercise,Hormonal Changes,Medium,"['Maintain a balanced diet rich in nutrients.', 'Exercise regularly to manage hormonal fluctuations.', 'Get sufficient sleep to regulate hormones.', 'Avoid excessive stress through mindfulness techniques.', 'Consult a doctor for hormonal therapy if needed.']"
15-19,<6,6-8,no-exercise,Hormonal Changes,Low,"['Maintain a balanced diet rich in nutrients.', 'Exercise regularly to manage hormonal fluctuations.', 'Get sufficient sleep to regulate hormones.', 'Avoid excessive stress through mindfulness techniques.', 'Consult a doctor for hormonal therapy if needed.']"
15-19,<6,6-8,no-exercise,Body Image,High,"['Avoid comparing yourself to others on social media.', 'Focus on the strengths and capabilities of your body.', 'Wear clothes that make you feel confident.', 'Surround yourself with positive and supportive people.', 'Engage in physical activities you enjoy.']"
15-19,<6,6-8,no-exercise,Body Image,Medium,"['Avoid comparing yourself to others on social media.', 'Focus on the strengths and capabilities of your body.', 'Wear clothes that make you feel confident.', 'Surround yourself with positive and supportive people.', 'Engage in physical activities you enjoy.']"
15-19,<6,6-8,no-exercise,Body Image,Low,"['Avoid comparing yourself to others on social media.', 'Focus on the strengths and capabilities of your body.', 'Wear clothes that make you feel confident.', 'Surround yourself with positive and supportive people.', 'Engage in physical activities you enjoy.']"
15-19,<6,6-8,no-exercise,Eating Disorder,High,"['Seek professional help from a dietitian or therapist.', 'Develop a regular eating schedule.', ""Avoid labeling foods as 'good' or 'bad.'"", 'Practice mindful eating without distractions.', 'Join support groups for eating disorder recovery.']"
15-19,<6,6-8,no-exercise,Eating Disorder,Medium,"['Seek professional help from a dietitian or therapist.', 'Develop a regular eating schedule.', ""Avoid labeling foods as 'good' or 'bad.'"", 'Practice mindful eating without distractions.', 'Join support groups for eating disorder recovery.']"
15-19,<6,6-8,no-exercise,Eating Disorder,Low,"['Seek professional help from a dietitian or therapist.', 'Develop a regular eating schedule.', ""Avoid labeling foods as 'good' or 'bad.'"", 'Practice mindful eating without distractions.', 'Join support groups for eating disorder recovery.']"
15-19,<6,6-8,no-exercise,Depression,High,"['Reach out to a trusted friend or family member.', 'Consider therapy with a licensed counselor.', 'Engage in activities you once enjoyed.', 'Establish a routine to bring structure to your day.', 'Avoid isolation by joining community events.']"
15-19,<6,6-8,no-exercise,Depression,Medium,"['Reach out to a trusted friend or family member.', 'Consider therapy with a licensed counselor.', 'Engage in activities you once enjoyed.', 'Establish a routine to bring structure to your day.', 'Avoid isolation by joining community events.']"
15-19,<6,6-8,no-exercise,Depression,Low,"['Reach out to a trusted friend or family member.', 'Consider therapy with a licensed counselor.', 'Engage in activities you once enjoyed.', 'Establish a routine to bring structure to your day.', 'Avoid isolation by joining community events.']"
15-19,<6,6-8,no-exercise,Suicidal Thoughts,High,"['Contact a crisis hotline immediately.', 'Talk to a trusted family member or friend.', 'Remove access to harmful objects or substances.', 'Seek professional mental health support.', 'Engage in mindfulness to calm intrusive thoughts.']"
15-19,<6,6-8,no-exercise,Suicidal Thoughts,Medium,"['Contact a crisis hotline immediately.', 'Talk to a trusted family member or friend.', 'Remove access to harmful objects or substances.', 'Seek professional mental health support.', 'Engage in mindfulness to calm intrusive thoughts.']"
15-19,<6,6-8,no-exercise,Suicidal Thoughts,Low,"['Contact a crisis hotline immediately.', 'Talk to a trusted family member or friend.', 'Remove access to harmful objects or substances.', 'Seek professional mental health support.', 'Engage in mindfulness to calm intrusive thoughts.']"
15-19,<6,>8,walk,Relationship and Family Issues,High,"['Communicate openly with family members.', 'Consider family counseling.', 'Set clear boundaries in relationships.', 'Practice active listening in conversations.', 'Spend quality time with loved ones.', 'Immediately consult a mental health professional.', 'Reduce work hours to avoid burnout.', 'Adopt a sleep hygiene routine to improve rest.', 'Avoid making critical decisions under stress.', 'Seek help from a trusted crisis support organization.']"
15-19,<6,>8,walk,Relationship and Family Issues,Medium,"['Communicate openly with family members.', 'Consider family counseling.', 'Set clear boundaries in relationships.', 'Practice active listening in conversations.', 'Spend quality time with loved ones.']"
15-19,<6,>8,walk,Relationship and Family Issues,Low,"['Communicate openly with family members.', 'Consider family counseling.', 'Set clear boundaries in relationships.', 'Practice active listening in conversations.', 'Spend quality time with loved ones.']"
15-19,<6,>8,walk,Family Dynamics,High,"['Plan family activities to strengthen bonds.', 'Encourage family meetings to discuss issues.', 'Respect individual opinions within the family.', 'Teach children about empathy and understanding.', 'Develop a routine to spend time together.', 'Immediately consult a mental health professional.', 'Reduce work hours to avoid burnout.', 'Adopt a sleep hygiene routine to improve rest.', 'Avoid making critical decisions under stress.', 'Seek help from a trusted crisis support organization.']"
15-19,<6,>8,walk,Family Dynamics,Medium,"['Plan family activities to strengthen bonds.', 'Encourage family meetings to discuss issues.', 'Respect individual opinions within the family.', 'Teach children about empathy and understanding.', 'Develop a routine to spend time together.']"
15-19,<6,>8,walk,Family Dynamics,Low,"['Plan family activities to strengthen bonds.', 'Encourage family meetings to discuss issues.', 'Respect individual opinions within the family.', 'Teach children about empathy and understanding.', 'Develop a routine to spend time together.']"
15-19,<6,>8,walk,Sexual and Reproduction Issues,High,"['Consult a qualified medical professional.', 'Educate yourself on reproductive health.', 'Practice safe sex methods.', 'Seek support groups for sexual health issues.', 'Discuss concerns openly with a partner.', 'Immediately consult a mental health professional.', 'Reduce work hours to avoid burnout.', 'Adopt a sleep hygiene routine to improve rest.', 'Avoid making critical decisions under stress.', 'Seek help from a trusted crisis support organization.']"
15-19,<6,>8,walk,Sexual and Reproduction Issues,Medium,"['Consult a qualified medical professional.', 'Educate yourself on reproductive health.', 'Practice safe sex methods.', 'Seek support groups for sexual health issues.', 'Discuss concerns openly with a partner.']"
15-19,<6,>8,walk,Sexual and Reproduction Issues,Low,"['Consult a qualified medical professional.', 'Educate yourself on reproductive health.', 'Practice safe sex methods.', 'Seek support groups for sexual health issues.', 'Discuss concerns openly with a partner.']"
15-19,<6,>8,walk,Anxiety,High,"['Practice deep breathing exercises daily.', 'Engage in mindfulness meditation.', 'Exercise regularly to reduce stress.', 'Avoid excessive caffeine or sugar intake.', 'Develop a consistent sleep schedule.', 'Immediately consult a mental health professional.', 'Reduce work hours to avoid burnout.', 'Adopt a sleep hygiene routine to improve rest.', 'Avoid making critical decisions under stress.', 'Seek help from a trusted crisis support organization.']"
15-19,<6,>8,walk,Anxiety,Medium,"['Practice deep breathing exercises daily.', 'Engage in mindfulness meditation.', 'Exercise regularly to reduce stress.', 'Avoid excessive caffeine or sugar intake.', 'Develop a consistent sleep schedule.']"
15-19,<6,>8,walk,Anxiety,Low,"['Practice deep breathing exercises daily.', 'Engage in mindfulness meditation.', 'Exercise regularly to reduce stress.', 'Avoid excessive caffeine or sugar intake.', 'Develop a consistent sleep schedule.']"
15-19,<6,>8,walk,Hormonal Changes,High,"['Maintain a balanced diet rich in nutrients.', 'Exercise regularly to manage hormonal fluctuations.', 'Get sufficient sleep to regulate hormones.', 'Avoid excessive stress through mindfulness techniques.', 'Consult a doctor for hormonal therapy if needed.', 'Immediately consult a mental health professional.', 'Reduce work hours to avoid burnout.', 'Adopt a sleep hygiene routine to improve rest.', 'Avoid making critical decisions under stress.', 'Seek help from a trusted crisis support organization.']"
15-19,<6,>8,walk,Hormonal Changes,Medium,"['Maintain a balanced diet rich in nutrients.', 'Exercise regularly to manage hormonal fluctuations.', 'Get sufficient sleep to regulate hormones.', 'Avoid excessive stress through mindfulness techniques.', 'Consult a doctor for hormonal therapy if needed.']"
15-19,<6,>8,walk,Hormonal Changes,Low,"['Maintain a balanced diet rich in nutrients.', 'Exercise regularly to manage hormonal fluctuations.', 'Get sufficient sleep to regulate hormones.', 'Avoid excessive stress through mindfulness techniques.', 'Consult a doctor for hormonal therapy if needed.']"
15-19,<6,>8,walk,Body Image,High,"['Avoid comparing yourself to others on social media.', 'Focus on the strengths and capabilities of your body.', 'Wear clothes that make you feel confident.', 'Surround yourself with positive and supportive people.', 'Engage in physical activities you enjoy.', 'Immediately consult a mental health professional.', 'Reduce work hours to avoid burnout.', 'Adopt a sleep hygiene routine to improve rest.', 'Avoid making critical decisions under stress.', 'Seek help from a trusted crisis support organization.']"
15-19,<6,>8,walk,Body Image,Medium,"['Avoid comparing yourself to others on social media.', 'Focus on the strengths and capabilities of your body.', 'Wear clothes that make you feel confident.', 'Surround yourself with positive and supportive people.', 'Engage in physical activities you enjoy.']"
15-19,<6,>8,walk,Body Image,Low,"['Avoid comparing yourself to others on social media.', 'Focus on the strengths and capabilities of your body.', 'Wear clothes that make you feel confident.', 'Surround yourself with positive and supportive people.', 'Engage in physical activities you enjoy.']"
15-19,<6,>8,walk,Eating Disorder,High,"['Seek professional help from a dietitian or therapist.', 'Develop a regular eating schedule.', ""Avoid labeling foods as 'good' or 'bad.'"", 'Practice mindful eating without distractions.', 'Join support groups for eating disorder recovery.', 'Immediately consult a mental health professional.', 'Reduce work hours to avoid burnout.', 'Adopt a sleep hygiene routine to improve rest.', 'Avoid making critical decisions under stress.', 'Seek help from a trusted crisis support organization.']"
15-19,<6,>8,walk,Eating Disorder,Medium,"['Seek professional help from a dietitian or therapist.', 'Develop a regular eating schedule.', ""Avoid labeling foods as 'good' or 'bad.'"", 'Practice mindful eating without distractions.', 'Join support groups for eating disorder recovery.']"
15-19,<6,>8,walk,Eating Disorder,Low,"['Seek professional help from a dietitian or therapist.', 'Develop a regular eating schedule.', ""Avoid labeling foods as 'good' or 'bad.'"", 'Practice mindful eating without distractions.', 'Join support groups for eating disorder recovery.']"
15-19,<6,>8,walk,Depression,High,"['Reach out to a trusted friend or family member.', 'Consider therapy with a licensed counselor.', 'Engage in activities you once enjoyed.', 'Establish a routine to bring structure to your day.', 'Avoid isolation by joining community events.', 'Immediately consult a mental health professional.', 'Reduce work hours to avoid burnout.', 'Adopt a sleep hygiene routine to improve rest.', 'Avoid making critical decisions under stress.', 'Seek help from a trusted crisis support organization.']"
15-19,<6,>8,walk,Depression,Medium,"['Reach out to a trusted friend or family member.', 'Consider therapy with a licensed counselor.', 'Engage in activities you once enjoyed.', 'Establish a routine to bring structure to your day.', 'Avoid isolation by joining community events.']"
15-19,<6,>8,walk,Depression,Low,"['Reach out to a trusted friend or family member.', 'Consider therapy with a licensed counselor.', 'Engage in activities you once enjoyed.', 'Establish a routine to bring structure to your day.', 'Avoid isolation by joining community events.']"
15-19,<6,>8,walk,Suicidal Thoughts,High,"['Contact a crisis hotline immediately.', 'Talk to a trusted family member or friend.', 'Remove access to harmful objects or substances.', 'Seek professional mental health support.', 'Engage in mindfulness to calm intrusive thoughts.', 'Immediately consult a mental health professional.', 'Reduce work hours to avoid burnout.', 'Adopt a sleep hygiene routine to improve rest.', 'Avoid making critical decisions under stress.', 'Seek help from a trusted crisis support organization.']"
15-19,<6,>8,walk,Suicidal Thoughts,Medium,"['Contact a crisis hotline immediately.', 'Talk to a trusted family member or friend.', 'Remove access to harmful objects or substances.', 'Seek professional mental health support.', 'Engage in mindfulness to calm intrusive thoughts.']"
15-19,<6,>8,walk,Suicidal Thoughts,Low,"['Contact a crisis hotline immediately.', 'Talk to a trusted family member or friend.', 'Remove access to harmful objects or substances.', 'Seek professional mental health support.', 'Engage in mindfulness to calm intrusive thoughts.']"
15-19,<6,>8,run,Relationship and Family Issues,High,"['Communicate openly with family members.', 'Consider family counseling.', 'Set clear boundaries in relationships.', 'Practice active listening in conversations.', 'Spend quality time with loved ones.', 'Immediately consult a mental health professional.', 'Reduce work hours to avoid burnout.', 'Adopt a sleep hygiene routine to improve rest.', 'Avoid making critical decisions under stress.', 'Seek help from a trusted crisis support organization.']"
15-19,<6,>8,run,Relationship and Family Issues,Medium,"['Communicate openly with family members.', 'Consider family counseling.', 'Set clear boundaries in relationships.', 'Practice active listening in conversations.', 'Spend quality time with loved ones.']"
15-19,<6,>8,run,Relationship and Family Issues,Low,"['Communicate openly with family members.', 'Consider family counseling.', 'Set clear boundaries in relationships.', 'Practice active listening in conversations.', 'Spend quality time with loved ones.']"
15-19,<6,>8,run,Family Dynamics,High,"['Plan family activities to strengthen bonds.', 'Encourage family meetings to discuss issues.', 'Respect individual opinions within the family.', 'Teach children about empathy and understanding.', 'Develop a routine to spend time together.', 'Immediately consult a mental health professional.', 'Reduce work hours to avoid burnout.', 'Adopt a sleep hygiene routine to improve rest.', 'Avoid making critical decisions under stress.', 'Seek help from a trusted crisis support organization.']"
15-19,<6,>8,run,Family Dynamics,Medium,"['Plan family activities to strengthen bonds.', 'Encourage family meetings to discuss issues.', 'Respect individual opinions within the family.', 'Teach children about empathy and understanding.', 'Develop a routine to spend time together.']"
15-19,<6,>8,run,Family Dynamics,Low,"['Plan family activities to strengthen bonds.', 'Encourage family meetings to discuss issues.', 'Respect individual opinions within the family.', 'Teach children about empathy and understanding.', 'Develop a routine to spend time together.']"
15-19,<6,>8,run,Sexual and Reproduction Issues,High,"['Consult a qualified medical professional.', 'Educate yourself on reproductive health.', 'Practice safe sex methods.', 'Seek support groups for sexual health issues.', 'Discuss concerns openly with a partner.', 'Immediately consult a mental health professional.', 'Reduce work hours to avoid burnout.', 'Adopt a sleep hygiene routine to improve rest.', 'Avoid making critical decisions under stress.', 'Seek help from a trusted crisis support organization.']"
15-19,<6,>8,run,Sexual and Reproduction Issues,Medium,"['Consult a qualified medical professional.', 'Educate yourself on reproductive health.', 'Practice safe sex methods.', 'Seek support groups for sexual health issues.', 'Discuss concerns openly with a partner.']"
15-19,<6,>8,run,Sexual and Reproduction Issues,Low,"['Consult a qualified medical professional.', 'Educate yourself on reproductive health.', 'Practice safe sex methods.', 'Seek support groups for sexual health issues.', 'Discuss concerns openly with a partner.']"
15-19,<6,>8,run,Anxiety,High,"['Practice deep breathing exercises daily.', 'Engage in mindfulness meditation.', 'Exercise regularly to reduce stress.', 'Avoid excessive caffeine or sugar intake.', 'Develop a consistent sleep schedule.', 'Immediately consult a mental health professional.', 'Reduce work hours to avoid burnout.', 'Adopt a sleep hygiene routine to improve rest.', 'Avoid making critical decisions under stress.', 'Seek help from a trusted crisis support organization.']"
15-19,<6,>8,run,Anxiety,Medium,"['Practice deep breathing exercises daily.', 'Engage in mindfulness meditation.', 'Exercise regularly to reduce stress.', 'Avoid excessive caffeine or sugar intake.', 'Develop a consistent sleep schedule.']"
15-19,<6,>8,run,Anxiety,Low,"['Practice deep breathing exercises daily.', 'Engage in mindfulness meditation.', 'Exercise regularly to reduce stress.', 'Avoid excessive caffeine or sugar intake.', 'Develop a consistent sleep schedule.']"
15-19,<6,>8,run,Hormonal Changes,High,"['Maintain a balanced diet rich in nutrients.', 'Exercise regularly to manage hormonal fluctuations.', 'Get sufficient sleep to regulate hormones.', 'Avoid excessive stress through mindfulness techniques.', 'Consult a doctor for hormonal therapy if needed.', 'Immediately consult a mental health professional.', 'Reduce work hours to avoid burnout.', 'Adopt a sleep hygiene routine to improve rest.', 'Avoid making critical decisions under stress.', 'Seek help from a trusted crisis support organization.']"
15-19,<6,>8,run,Hormonal Changes,Medium,"['Maintain a balanced diet rich in nutrients.', 'Exercise regularly to manage hormonal fluctuations.', 'Get sufficient sleep to regulate hormones.', 'Avoid excessive stress through mindfulness techniques.', 'Consult a doctor for hormonal therapy if needed.']"
15-19,<6,>8,run,Hormonal Changes,Low,"['Maintain a balanced diet rich in nutrients.', 'Exercise regularly to manage hormonal fluctuations.', 'Get sufficient sleep to regulate hormones.', 'Avoid excessive stress through mindfulness techniques.', 'Consult a doctor for hormonal therapy if needed.']"
15-19,<6,>8,run,Body Image,High,"['Avoid comparing yourself to others on social media.', 'Focus on the strengths and capabilities of your body.', 'Wear clothes that make you feel confident.', 'Surround yourself with positive and supportive people.', 'Engage in physical activities you enjoy.', 'Immediately consult a mental health professional.', 'Reduce work hours to avoid burnout.', 'Adopt a sleep hygiene routine to improve rest.', 'Avoid making critical decisions under stress.', 'Seek help from a trusted crisis support organization.']"
15-19,<6,>8,run,Body Image,Medium,"['Avoid comparing yourself to others on social media.', 'Focus on the strengths and capabilities of your body.', 'Wear clothes that make you feel confident.', 'Surround yourself with positive and supportive people.', 'Engage in physical activities you enjoy.']"
15-19,<6,>8,run,Body Image,Low,"['Avoid comparing yourself to others on social media.', 'Focus on the strengths and capabilities of your body.', 'Wear clothes that make you feel confident.', 'Surround yourself with positive and supportive people.', 'Engage in physical activities you enjoy.']"
15-19,<6,>8,run,Eating Disorder,High,"['Seek professional help from a dietitian or therapist.', 'Develop a regular eating schedule.', ""Avoid labeling foods as 'good' or 'bad.'"", 'Practice mindful eating without distractions.', 'Join support groups for eating disorder recovery.', 'Immediately consult a mental health professional.', 'Reduce work hours to avoid burnout.', 'Adopt a sleep hygiene routine to improve rest.', 'Avoid making critical decisions under stress.', 'Seek help from a trusted crisis support organization.']"
15-19,<6,>8,run,Eating Disorder,Medium,"['Seek professional help from a dietitian or therapist.', 'Develop a regular eating schedule.', ""Avoid labeling foods as 'good' or 'bad.'"", 'Practice mindful eating without distractions.', 'Join support groups for eating disorder recovery.']"
